# Melissa Graham, gal_sds.ipynb 
# UTC = Tue, 12 Apr 2022 18:50:30 +0000 
# 
# Columns 
#  0 candidate id 
#  1 object id 
#  2 object ra 
#  3 object dec 
#  4 object MJD 
#  5 object filter 
#  6 object magnitude 
#  7 object magnitude error 
#  8 object real/bogus score 
# 
DC22gfeir 15943392  115.17390636502  -26.22081610703 59498.35869042 g 21.463  0.059  0.986 
DC22gfeir 16228610  115.17388903504  -26.22079905820 59504.34461657 g 21.600  0.066  0.898 
DC22gfeir 15948268  115.17385378492  -26.22079720039 59504.34766289 z 19.319  0.029  0.275 
DC22gfeir 15948375  115.17388596275  -26.22078473866 59504.34833931 g 21.555  0.059  0.824 
DC22gfeir 15950199  115.17385553205  -26.22081505267 59504.35137425 z 19.358  0.030  0.222 
DC22gfeir 15951060  115.17385033948  -26.22081205624 59504.35507596 z 19.354  0.031  0.732 
DC22gfeir 15950701  115.17387401260  -26.22080037473 59504.35574585 g 21.633  0.060  0.884 
DC22gfeir 15951989  115.17383447988  -26.22081341849 59504.35950379 g 21.588  0.056  0.816 
DC22gfeir 15952981  115.17384005467  -26.22082682589 59504.36253064 z 19.270  0.027  0.214 
DC22gfeir 15953172  115.17385464854  -26.22081560066 59504.36319973 g 21.595  0.051  0.904 
DC22gfeir 15953983  115.17389175170  -26.22080627218 59505.35544311 g 21.598  0.087  0.923 
DC22gfeir 15954388  115.17386469676  -26.22081037929 59505.35691087 g 21.583  0.079  0.937 
DC22gfeir 15954811  115.17386559980  -26.22080053796 59505.35835653 r 20.323  0.035  0.856 
DC22gfeir 15955102  115.17387068599  -26.22080947165 59505.35994218 z 19.347  0.031  0.566 
DC22gfeir 15955305  115.17385747845  -26.22080812036 59505.36061907 g 21.652  0.084  0.936 
DC22gfeir 15955569  115.17387322448  -26.22080628436 59505.36206040 r 20.311  0.037  0.787 
DC22gfeir 15955773  115.17387693406  -26.22081030270 59505.36434823 g 21.701  0.082  0.805 
DC22gfeir 15956751  115.17384784033  -26.22082853503 59505.36738622 z 19.347  0.030  0.802 
DC22gfeir 15956378  115.17389285493  -26.22080143766 59505.36807524 g 21.595  0.074  0.903 
DC22gfeir 15957206  115.17383837805  -26.22082693103 59505.37109819 z 19.228  0.028  0.969 
DC22gfeir 15957466  115.17386446253  -26.22081536211 59505.37178993 g 21.516  0.066  0.834 
DC22gfeir 15957807  115.17385024144  -26.22080771356 59505.37483882 z 19.266  0.029  0.331 
DC22gfeir 15957879  115.17385411145  -26.22081375450 59505.37551592 g 21.629  0.083  0.793 
DC22gfeir 15958591  115.17387167299  -26.22081097176 59505.37785808 i 19.733  0.039  0.670 
DC22gfeir 15958845  115.17385243415  -26.22083443803 59505.37854505 z 19.285  0.032  0.893 
DC22gfeir 15959027  115.17386705145  -26.22082645780 59507.34571082 r 20.223  0.048  0.732 
DC22gfeir 15959329  115.17387044808  -26.22083391560 59507.34729877 z 19.298  0.038  0.975 
DC22gfeir 15960465  115.17388181265  -26.22084017859 59507.34941750 r 20.310  0.047  0.891 
DC22gfeir 15960646  115.17383457247  -26.22083142620 59507.35033775 i 19.649  0.041  0.905 
DC22gfeir 15960899  115.17384471228  -26.22083080025 59507.35102912 z 19.241  0.036  0.946 
DC22gfeir 15961073  115.17395974878  -26.22084833582 59507.35171615 g 21.447  0.134  0.762 
DC22gfeir 15962226  115.17386942046  -26.22082237376 59507.35407734 i 19.687  0.040  0.700 
DC22gfeir 15962489  115.17388994154  -26.22081906239 59507.35476267 z 19.344  0.037  0.964 
DC22gfeir 15962557  115.17386070548  -26.22081652132 59507.35686599 r 20.294  0.044  0.726 
DC22gfeir 15962800  115.17386482353  -26.22080301768 59507.35776445 i 19.761  0.039  0.681 
DC22gfeir 15963396  115.17386345241  -26.22082518921 59507.35844535 z 19.345  0.035  0.960 
DC22gfeir 15963886  115.17385449024  -26.22083203842 59507.36055378 r 20.299  0.044  0.677 
DC22gfeir 15964102  115.17386368208  -26.22081233014 59507.36146570 i 19.624  0.040  0.901 
DC22gfeir 15964333  115.17387168136  -26.22081939096 59507.36214638 z 19.214  0.034  0.977 
DC22gfeir 15964715  115.17388752868  -26.22084833590 59507.36281337 g 21.351  0.109  0.930 
DC22gfeir 15965112  115.17387332705  -26.22082552867 59507.36516380 i 19.625  0.037  0.752 
DC22gfeir 15965602  115.17385780298  -26.22083043999 59507.36584053 z 19.318  0.037  0.937 
DC22gfeir 15967502  115.17389914824  -26.22082110009 59508.36182601 r 20.266  0.042  0.662 
DC22gfeir 15967808  115.17385410761  -26.22081841882 59508.36341226 z 19.274  0.032  0.455 
DC22gfeir 15968291  115.17388346699  -26.22079722088 59508.36409657 g 21.667  0.122  0.916 
DC22gfeir 15968394  115.17386069945  -26.22080659739 59508.36553143 r 20.224  0.038  0.558 
DC22gfeir 15968646  115.17394034393  -26.22079579519 59510.32094495 g 21.447  0.103  0.792 
DC22gfeir 15969022  115.17387189026  -26.22083030182 59510.32239219 r 20.290  0.043  0.868 
DC22gfeir 15969339  115.17385266780  -26.22079402798 59510.32464954 g 21.600  0.129  0.897 
DC22gfeir 15972450  115.17386117081  -26.22081094932 59510.32765742 z 19.264  0.034  0.863 
DC22gfeir 15972255  115.17382091426  -26.22083788708 59510.32834009 g 21.503  0.112  0.874 
DC22gfeir 15975738  115.17384395818  -26.22086181960 59510.33573178 g 21.468  0.115  0.958 
DC22gfeir 15985572  115.17386095238  -26.22085464069 59511.36466395 g 21.433  0.087  0.719 
DC22gfeir 15987303  115.17386510191  -26.22082572345 59511.36838430 g 21.493  0.092  0.571 
DC22gfeir 15987622  115.17387512894  -26.22080657602 59512.34062766 g 21.688  0.076  0.958 
DC22gfeir 15989738  115.17383236298  -26.22082215625 59512.34207047 r 20.282  0.032  0.944 
DC22gfeir 15990760  115.17386140387  -26.22081516235 59512.34366652 z 19.259  0.028  0.704 
DC22gfeir 15990215  115.17391137539  -26.22079541643 59512.34435514 g 21.615  0.070  0.925 
DC22gfeir 15991295  115.17387778628  -26.22082624151 59512.34580298 r 20.288  0.031  0.752 
DC22gfeir 15991795  115.17386396937  -26.22081406353 59512.34738734 z 19.326  0.029  0.601 
DC22gfeir 15992139  115.17388963834  -26.22081410725 59512.34806340 g 21.577  0.065  0.859 
DC22gfeir 15992938  115.17386228553  -26.22082416579 59512.34951368 r 20.301  0.032  0.817 
