# Name,    RA,              Dec,              z,                 z_err,                 Type
DC21blqd, 151.283740717803, 1.63847247085572, 0.47068930495378497, 5.6212959084836e-06, GALAXY: 1
DC21blre, 150.246344739555, 3.73064286450384, 1.6487578188774075, 0.00011268900619287329, QSO: 1
DC21blyw, 150.942477922061, 1.31933933736121, 1.48691209949476, 6.99462591417505e-05, GALAXY: 1
DC21bmob, 150.139114024101, 1.87696683177626, 0.832137706725102, 6.43807860845543e-05, GALAXY: 1
DC21bmzw, 151.493057974243, 2.30681426199557, 2.0338492064160687, 9.950805790735149e-05, QSO: 2
DC21bogp, 149.345531062369, 2.52972878157995, 1.4008537929236202, 0.000144450354183169, GALAXY: 1
DC21bohl, 150.120959008241, 2.86676787621931, 0.3055506052598024, 1.3183811201541277e-05, GALAXY: 3
DC21bpaa, 150.094728025143, 3.62365869858258, 0.9057849604683658, 7.13238885160704e-06, GALAXY: 2
DC21bpls, 149.300796613349, 2.09439780926892, 0.9301971446060292, 1.7804718219039442e-05, GALAXY: 1
DC21bpx, 149.136933242155, 1.28498608304536, 0.001142601904598482, 5.821665002063733e-07, STAR: 3
DC21bqmr, 149.087151663996, 2.89695580633839, 0.345066968453376, 0.00012717640605399, GALAXY: 1
DC21bqua, 149.79616981939, 2.5641131983074, 0.70301955061394, 4.52885405754871e-05, QSO: 1
DC21brjo, 150.530490431865, 2.84399675535274, 1.4591338841677501, 0.00017069669647814203, QSO: 1
DC21bsih, 149.702794397944, 2.87869670391639, 0.078947751195155, 1.56289034429765e-05, GALAXY: 1
DC21bsqz, 150.375464855196, 2.28529214928517, 0.0751578318176846, 8.326613307280985e-07, GALAXY: 1
DC21bval, 149.268375316805, 1.49126592967727, 0.26301121536736893, 8.14375289451292e-05, GALAXY: 1
DC21bvzdy, 148.59282132211, 1.78859031022199, 0.0002875305869277497, 1.8938949873311839e-06, STAR: 1
DC21bvzkt, 149.614644467711, 1.14120527564939, 0.551394973877228, 2.29567493467016e-05, GALAXY: 1
DC21bvzre, 150.621459285255, 2.15884074290279, 1.52433118644115, 0.00020372774302873797, QSO: 1
DC21bvzyo, 150.732888455721, 1.6251232375301, 2.37901178439019, 7.668020710162024e-05, QSO: 4
DC21bwahq, 149.821920514559, 1.8386281680928, 1.35302410235996, 0.000257990589000341, QSO: 1
DC21bwajh, 150.643048078393, 1.83644086580739, 1.5064814764277321, 5.997419629730785e-05, QSO: 1
DC21bwaqf, 150.346344837503, 1.37452621237928, 0.31607339767378895, 5.9294531104750394e-05, QSO: 1
DC21bwatj, 149.81710005503, 3.96325387516845, 0.97172607059027, 0.000100296190413256, QSO: 1
DC21bwaxf, 149.1361594261, 3.36467198415659, 0.9858697170801759, 8.95700235539498e-05, QSO: 1
DC21bwbez, 150.158959355781, 2.82510259121647, 1.8563446546009612, 7.014701792892354e-05, QSO: 3
DC21bwcel, 148.960730800739, 3.0288598062441, 0.000476021072090914, 5.898625524644737e-06, STAR: 2
DC21bwcke, 149.978246286536, 1.53513673409791, 0.481106063188871, 2.41209518204436e-05, QSO: 1
DC21bwcoq, 151.376601984261, 2.43267774342488, 1.514744686138324, 8.175124143856556e-05, QSO: 1
DC21bwcqt, 151.318209726492, 2.16195432011445, 1.37408724878391, 0.000123699541281004, QSO: 1
DC21bwcrp, 150.546480210235, 1.37454654746198, 1.8138198930647673, 0.00010044062492844942, QSO: 2
DC21bwcsm, 149.84814098367, 2.37424452411043, 2.7231340550842313, 0.0002062023197119742, QSO: 3
DC21bwdrv, 150.829639501685, 2.42820045347892, 0.9644290018080988, 8.510541863911039e-05, QSO: 2
DC21bwdsv, 149.619602698867, 3.615283180569, 2.7635553633929795, 0.00022212656217012404, QSO: 4
DC21bwdwk, 150.117179909465, 1.22893003955683, 0.24662514664466922, 1.7414548623886114e-05, GALAXY: 2
DC21bwdwt, 151.448765827024, 2.20605857598832, 0.9065011495052325, 2.0872303912637524e-05, QSO: 3
DC21bwdzy, 149.700744800237, 1.35070097938343, 3.136259550851879, 9.983361641391036e-05, QSO: 2
DC21bwebg, 149.55399077349, 0.858473654751126, 1.4909225759499056, 0.00016936043411116197, QSO: 1
DC21bwebw, 150.451370003962, 1.49888633881564, 1.4878897703161442, 0.000194896630286581, QSO: 1
DC21bwegs, 149.79297198304, 2.12562301081276, 0.3533206341777628, 7.74708983811418e-06, QSO: 2
