# Accumulated photometry of sn2015V 
# Photometry is in the natural system NOT Landolt 
# MJD          Mag       Err       LimMag    Passband  Telescope Filename  
57209.29       16.00     0.02      nan       clear     kait4     unk       
57215.27       16.00     0.12      nan       R         kait4     unk       
57215.27       16.12     0.03      nan       clear     kait4     unk       
57219.28       16.24     0.02      nan       clear     kait4     unk       
57220.28       17.96     0.16      nan       B         kait4     unk       
57220.28       16.77     0.04      nan       V         kait4     unk       
57220.28       16.24     0.02      nan       R         kait4     unk       
57220.28       15.79     0.03      nan       I         kait4     unk       
57220.28       16.27     0.02      nan       clear     kait4     unk       
57225.24       16.54     0.04      nan       clear     kait4     unk       
57227.26       18.23     0.18      nan       B         kait4     unk       
57227.26       17.23     0.08      nan       V         kait4     unk       
57227.26       16.62     0.05      nan       R         kait4     unk       
57227.26       16.20     0.05      nan       I         kait4     unk       
57227.26       16.61     0.03      nan       clear     kait4     unk       
57228.34       18.33     0.27      nan       B         kait4     unk       
57228.34       17.22     0.06      nan       V         kait4     unk       
57228.34       16.69     0.04      nan       R         kait4     unk       
57228.34       16.27     0.04      nan       I         kait4     unk       
57228.34       16.72     0.04      nan       clear     kait4     unk       
57229.24       16.92     0.07      nan       clear     kait4     unk       
57230.23       16.98     0.07      nan       clear     kait4     unk       
57231.25       18.66     0.41      nan       B         kait4     unk       
57231.25       17.76     0.16      nan       V         kait4     unk       
57231.25       16.96     0.07      nan       R         kait4     unk       
57231.25       16.58     0.10      nan       I         kait4     unk       
57231.25       17.07     0.07      nan       clear     kait4     unk       
57232.24       17.26     0.07      nan       clear     kait4     unk       
57233.21       17.08     0.11      nan       clear     kait4     unk       
57234.25       17.50     0.18      nan       clear     kait4     unk       
57235.21       17.43     0.13      nan       clear     kait4     unk       
57236.23       17.41     0.08      nan       clear     kait4     unk       
57237.24       18.22     0.11      nan       V         kait4     unk       
57237.24       17.45     0.06      nan       R         kait4     unk       
57237.24       16.99     0.08      nan       I         kait4     unk       
57237.24       17.44     0.06      nan       clear     kait4     unk       
57238.22       17.60     0.16      nan       clear     kait4     unk       
57240.23       18.04     0.22      nan       V         kait4     unk       
57240.23       17.52     0.11      nan       R         kait4     unk       
57240.23       16.98     0.11      nan       I         kait4     unk       
57240.23       17.58     0.07      nan       clear     kait4     unk       
57246.24       18.17     0.11      nan       V         kait4     unk       
57246.24       17.53     0.07      nan       R         kait4     unk       
57246.24       16.99     0.07      nan       I         kait4     unk       
57246.24       17.63     0.08      nan       clear     kait4     unk       
57247.17       17.49     0.08      nan       clear     kait4     unk       
57248.21       17.67     0.09      nan       clear     kait4     unk       
57249.21       18.09     0.12      nan       V         kait4     unk       
57249.21       17.57     0.09      nan       R         kait4     unk       
57249.21       17.16     0.09      nan       I         kait4     unk       
57249.21       17.61     0.04      nan       clear     kait4     unk       
57250.21       17.59     0.08      nan       clear     kait4     unk       
57251.20       17.69     0.09      nan       clear     kait4     unk       
57253.19       17.63     0.11      nan       clear     kait4     unk       
57255.20       18.00     0.09      nan       V         kait4     unk       
57255.20       17.63     0.08      nan       R         kait4     unk       
57255.20       17.08     0.08      nan       I         kait4     unk       
57255.20       17.71     0.07      nan       clear     kait4     unk       
57259.19       17.84     0.09      nan       clear     kait4     unk       
57261.18       18.29     0.18      nan       V         kait4     unk       
57261.18       17.57     0.10      nan       R         kait4     unk       
57261.18       17.14     0.10      nan       I         kait4     unk       
57261.18       17.68     0.11      nan       clear     kait4     unk       
57263.18       17.62     0.09      nan       clear     kait4     unk       
57265.15       17.84     0.10      nan       clear     kait4     unk       
57266.20       17.68     0.08      nan       clear     kait4     unk       
57510.51       19.60     0.33      nan       clear     kait4     unk       
57516.50       20.49     0.43      nan       clear     kait4     unk       
57520.50       19.87     0.36      nan       clear     kait4     unk       
57521.48       20.38     0.23      nan       clear     kait4     unk       
57525.49       19.99     0.35      nan       clear     kait4     unk       
57526.47       20.07     0.33      nan       clear     kait4     unk       
57527.46       20.12     0.51      nan       clear     kait4     unk       
57533.48       19.83     0.38      nan       clear     kait4     unk       
57534.47       19.81     0.32      nan       clear     kait4     unk       
57536.46       20.23     0.37      nan       clear     kait4     unk       
57537.46       20.89     0.50      nan       clear     kait4     unk       
57540.45       20.25     0.30      nan       clear     kait4     unk       
57541.45       20.30     0.35      nan       clear     kait4     unk       
57547.41       20.10     0.29      nan       clear     kait4     unk       
57548.42       19.95     0.25      nan       clear     kait4     unk       
57549.43       20.18     0.37      nan       clear     kait4     unk       
57550.42       19.83     0.31      nan       clear     kait4     unk       
57551.41       20.79     0.42      nan       clear     kait4     unk       
57556.37       20.19     0.38      nan       clear     kait4     unk       
57557.43       18.12     0.45      nan       clear     kait4     unk       
57558.34       20.02     0.39      nan       clear     kait4     unk       
57563.37       20.12     0.45      nan       clear     kait4     unk       
57564.36       20.10     0.30      nan       clear     kait4     unk       
57566.36       20.67     0.43      nan       clear     kait4     unk       
57568.38       19.60     0.26      nan       clear     kait4     unk       
57569.35       20.49     0.36      nan       clear     kait4     unk       
57571.34       19.62     0.23      nan       clear     kait4     unk       
57572.32       20.54     0.49      nan       clear     kait4     unk       
57573.32       20.17     0.52      nan       clear     kait4     unk       
57576.33       20.25     0.34      nan       clear     kait4     unk       
57577.31       20.25     0.51      nan       clear     kait4     unk       
57580.29       20.25     0.34      nan       clear     kait4     unk       
57583.29       19.86     0.16      nan       clear     kait4     unk       
57584.27       19.68     0.46      nan       clear     kait4     unk       
