# Melissa Graham & Midori Rollins, fit_potential_snia_sncosmos.ipynb 
# UTC = Sun, 26 Nov 2023 23:40:44 +0000 
# 
# Columns 
#  0 id -- candidate identifier 
#  1 estimated redshift 
#  2 redshift lower boundry intput to fit 
#  3 redshift upper boundry intput to fit 
#  4 fit redshift 
#  5 error in fit redshift 
#  6 fit t0 
#  7 error in fit t0 
#  8 fit x0 
#  9 error in fit x0 
# 10 fit x1 
# 11 error in fit x1 
# 12 fit c 
# 13 error in fit c 
# 14 fit peak magnitude in bessel B 
# 15 fit peak magnitude in sdss g 
# 16 fit peak magnitude in sdss r 
# 17 fit peak magnitude in sdss i 
# 
DC21pry        0.220 0.070 0.370   0.182 0.015 59308.70  0.66   3.3346E-05   2.3805E-06     8.8182     0.9682     0.9722     0.0791    21.4369    21.1892    20.4199    20.3668 
DC21vfl        0.000 0.000 0.000   -99.900 -99.900   -99.90 -99.90  -9.9900E+01  -9.9900E+01   -99.9000   -99.9000   -99.9000   -99.9000     0.0000     0.0000     0.0000     0.0000 
DC22duvcm      0.322 0.172 0.472   0.172 0.014 59578.60  0.37   4.1244E-05   1.3153E-06     0.3425     0.6016     0.0443     0.0260    21.4623    21.5049    21.5471    22.1104 
DC22earrc      0.400 0.250 0.550   0.277 0.018 59588.81  0.51   2.3999E-05   9.5305E-07    -1.4449     1.0127    -0.1319     0.0356    22.0526    22.1479    22.3699    22.9836 
DC22eawkf      0.174 0.050 0.350   0.122 0.007 59585.28  0.39   1.4128E-04   1.7375E-06     1.7339     0.3214     0.0125     0.0125    20.1223    20.1729    20.2801    20.8735 
DC22gtccc      0.338 0.188 0.488   0.488 0.003 59704.35  0.43   2.7346E-05   7.3795E-07     2.3964     0.4659     0.0219     0.0242    21.9024    21.9492    22.0593    22.6554 
DC22gtdsi      0.342 0.192 0.492   0.307 0.024 59691.60  1.26   3.1383E-05   1.3461E-06    -0.5664     0.9272     0.0340     0.0687    21.7605    21.8063    21.8444    22.4007 
DC22gtowb      0.259 0.109 0.409   0.147 0.045 59708.45  0.54   6.2998E-05   2.1842E-06    -0.4075     0.4269     0.0706     0.0319    21.0034    21.0381    21.0357    21.5788 
DC22gtpdx      0.295 0.145 0.445   0.271 0.014 60001.52  0.36   3.4429E-05   9.6155E-07    -0.0306     0.4293     0.0236     0.0271    21.6592    21.7082    21.7682    22.3355 
DC22gtqyk      0.255 0.105 0.405   0.241 0.009 59713.83  0.30   6.2667E-05   1.5141E-06     2.6278     0.3401    -0.0575     0.0231    21.0011    21.0714    21.2803    21.9125 
DC22guhrf      0.253 0.103 0.403   0.229 0.023 59694.91  0.75   7.0562E-05   4.2122E-06     1.0965     0.9534    -0.1475     0.0332    20.8777    20.9769    21.2615    21.9157 
DC22gvcqm      0.317 0.167 0.467   0.281 0.038 59697.77  2.99   3.7587E-05   2.5052E-06     3.2428     1.9367     0.0206     0.0726    21.5509    21.5973    21.7285    22.3316 
