angDist,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z,col1,col2,col3
2.360250,COSMOS2015 818417,149.8266666667,2.5419166667,,,172,3,09 59 18.40,+02 32 30.9,C,2007ApJS..172...99C,Galaxy,G|NIR,13273.299,,0.0453000,,,,,,,,,,,0.014867,0.014867,0,24.730,24.500,24.540,23.830,23.760,24.460,,,,,,DC23krvxt,149.8271486,2.542361685
3.712176,COSMOS2015 818253,149.8279583333,2.5417222222,,,172,3,09 59 18.71,+02 32 30.2,C,2007ApJS..172...99C,Galaxy,G|NIR,54616.128,,0.2023000,,,,,,,,,,,0.014067,0.014067,0,25.170,24.350,24.360,24.580,24.250,24.270,,,,,,DC23krvxt,149.8271486,2.542361685
2.259043,COSMOS 2348270,150.1770416667,2.4899166667,,,172,5,10 00 42.49,+02 29 23.7,C,2007ApJS..172...99C,Galaxy,G|NIR,190665.908,,1.1200000,,,,,,,,,,,,,,24.730,24.460,24.420,23.250,23.090,23.120,,,,,,DC23krysw,150.1764556,2.489690956
3.526172,COSMOS 2348268,150.1765416667,2.4906666667,,,172,6,10 00 42.37,+02 29 26.4,C,2007ApJS..172...99C,Galaxy,EmO|G|NIR,191836.090,,1.1340000,,,,,,,,,,,,,,24.720,24.380,24.330,23.530,23.600,23.170,,,,,,DC23krysw,150.1764556,2.489690956
3.922359,COSMOS 2348480,150.1754583333,2.4892500000,,,172,7,10 00 42.11,+02 29 21.3,C,2007ApJS..172...99C,Galaxy,G|NIR,191486.874,,1.1298000,,,,,,,,,,,0.032450,0.032450,0,25.200,24.680,24.400,22.520,22.200,21.800,,,,,,DC23krysw,150.1764556,2.489690956
4.824150,COSMOS 2348244,150.1773750000,2.4906666667,,,172,6,10 00 42.57,+02 29 26.4,C,2007ApJS..172...99C,Galaxy,G|NIR,190665.908,,1.1200000,,,,,,,,,,,,,,24.550,24.190,24.200,23.140,23.060,22.780,,,,,,DC23krysw,150.1764556,2.489690956
3.769620,COSMOS2015 818253,149.8279583333,2.5417222222,,,172,3,09 59 18.71,+02 32 30.2,C,2007ApJS..172...99C,Galaxy,G|NIR,54616.128,,0.2023000,,,,,,,,,,,0.014067,0.014067,0,25.170,24.350,24.360,24.580,24.250,24.270,,,,,,DC23ksayv,149.8276103,2.542709929
4.435394,COSMOS2015 818417,149.8266666667,2.5419166667,,,172,3,09 59 18.40,+02 32 30.9,C,2007ApJS..172...99C,Galaxy,G|NIR,13273.299,,0.0453000,,,,,,,,,,,0.014867,0.014867,0,24.730,24.500,24.540,23.830,23.760,24.460,,,,,,DC23ksayv,149.8276103,2.542709929
4.383805,ACS-GC 20202248,149.8332083333,1.6058888889,,,172,3,09 59 19.97,+01 36 21.2,C,2007ApJS..172...99C,AGN,AGN|G,239067.897,,1.9789000,,,,,,,,,,,,,,25.303,25.356,,,,22.769,,,,,,DC23ksbet,149.8343693,1.60625776
3.699341,COSMOS2015 976812,150.0498333333,2.7878611111,,,172,4,10 00 11.96,+02 47 16.3,C,2007ApJS..172...99C,Galaxy,G|NIR,6698.768,,0.0226000,,,,,,,,,,,,,,23.220,22.740,22.790,21.980,21.830,21.830,,,,,,DC23ktdtc,150.0499606,2.786841409
4.763096,COSMOS2015 976178,150.0511250000,2.7874722222,,,172,3,10 00 12.27,+02 47 14.9,C,2007ApJS..172...99C,Galaxy,G|NIR,237225.827,,1.9297000,,,,,,,,,,,,,,25.610,25.010,25.000,22.760,22.120,21.740,,,,,,DC23ktdtc,150.0499606,2.786841409
1.451915,COSMOS2015 938807,150.0867083333,2.7262222222,,,172,3,10 00 20.81,+02 43 34.4,C,2007ApJS..172...99C,Galaxy,G|NIR,169816.383,,0.9008000,,,,,,,,,,,,,,24.640,24.310,24.260,23.280,23.570,22.967,,,,,,DC23kunqg,150.0865413,2.726589403
2.639070,COSMOS J100020.79+024333.1,150.0866250000,2.7258611111,,,172,0,10 00 20.79,+02 43 33.1,C,2007ApJS..172...99C,Galaxy,G,185446.414,,1.0600000,,,,,,,,,,,,,,25.222,25.270,,,,22.562,,,,,,DC23kunqg,150.0865413,2.726589403
3.153856,COSMOS2015 938256,150.0864166667,2.7257222222,,,172,1,10 00 20.74,+02 43 32.6,C,2007ApJS..172...99C,Galaxy,G,247348.641,,2.2300000,,,,,,,,,,,,,,24.440,24.080,24.050,23.330,23.200,22.648,,,,,,DC23kunqg,150.0865413,2.726589403
4.678555,COSMOS2015 939664,150.0870000000,2.7278055556,,,172,4,10 00 20.88,+02 43 40.1,C,2007ApJS..172...99C,Galaxy,G|NIR,217653.015,,1.5099000,,,,,,,,,,,,,,24.160,23.920,23.910,22.980,22.950,22.710,,,,23.700,,DC23kunqg,150.0865413,2.726589403
0.842725,COSMOS2015 289303,150.6838700000,1.7262300000,,,172,1,10 02 44.13,+01 43 34.4,C,2013A&A...556A..55I,Galaxy,G,220683.457,,1.5650000,,,,,,,,,,,,,,25.880,25.620,25.620,25.520,23.620,23.600,,,,,,DC24xmj,150.6839163,1.72645947
3.844508,COSMOS2015 295592,150.7147083333,1.7356111111,,,172,0,10 02 51.53,+01 44 08.2,C,2007ApJS..172...99C,Galaxy,G,211096.465,,1.4000000,,,,,,,,,,,,,,25.317,25.268,,,,21.871,,,,,,DC24xmt,150.7147947,1.736675535
