# fnm 	 exptime
c4d_210917_022137_ori	50.0
c4d_210322_025857_ori	130.0
c4d_210328_032150_ori	30.0
c4d_210917_044252_ori	50.0
c4d_210518_003743_ori	90.0
c4d_210607_232345_ori	90.0
c4d_210917_032732_ori	60.0
c4d_210918_075623_ori	240.0
c4d_210920_032839_ori	60.0
c4d_210920_040056_ori	50.0
c4d_210920_050856_ori	50.0
c4d_210920_073524_ori	50.0
c4d_210921_075550_ori	50.0
c4d_210923_021727_ori	86.0
c4d_210923_005509_ori	50.0
c4d_210923_041523_ori	50.0
c4d_210923_063053_ori	50.0
c4d_210926_044533_ori	130.0
c4d_210926_063958_ori	50.0
c4d_210917_025940_ori	15.0
c4d_210918_083354_ori	15.0
c4d_210920_073227_ori	15.0
c4d_210923_015535_ori	15.0
c4d_210924_070116_ori	15.0
c4d_210926_042505_ori	15.0
c4d_210929_041845_ori	15.0
c4d_210929_070211_ori	15.0
c4d_210929_044831_ori	60.0
c4d_210929_055311_ori	50.0
c4d_211002_045947_ori	130.0
c4d_211002_055026_ori	50.0
c4d_211002_065106_ori	50.0
c4d_211005_050230_ori	130.0
c4d_211005_055052_ori	50.0
c4d_211005_065235_ori	50.0
c4d_211002_042441_ori	25.0
c4d_211002_070038_ori	15.0
c4d_211002_081355_ori	15.0
c4d_211005_043054_ori	15.0
c4d_211005_070745_ori	15.0
c4d_211005_083711_ori	15.0
c4d_211011_044440_ori	86.0
c4d_211011_051055_ori	130.0
c4d_211011_053941_ori	50.0
c4d_211011_062909_ori	50.0
c4d_211011_064801_ori	50.0
c4d_211011_080112_ori	50.0
c4d_211011_053419_ori	15.0
c4d_210917_022259_ori	50.0
c4d_210322_030509_ori	130.0
c4d_210917_044530_ori	50.0
c4d_210418_023840_ori	130.0
c4d_210521_233706_ori	90.0
c4d_210607_233317_ori	90.0
c4d_210917_032901_ori	86.0
c4d_210918_080053_ori	240.0
c4d_210920_033008_ori	86.0
c4d_210920_040216_ori	50.0
c4d_210920_051016_ori	50.0
c4d_210920_073646_ori	50.0
c4d_210921_075709_ori	50.0
c4d_210923_021922_ori	130.0
c4d_210923_005629_ori	50.0
c4d_210923_041644_ori	50.0
c4d_210923_063212_ori	50.0
c4d_210926_044813_ori	60.0
c4d_210926_064119_ori	50.0
c4d_210917_074515_ori	15.0
c4d_210918_083438_ori	15.0
c4d_210920_073309_ori	15.0
c4d_210923_064731_ori	15.0
c4d_210924_070200_ori	15.0
c4d_210926_042549_ori	15.0
c4d_210929_041927_ori	15.0
c4d_210929_070253_ori	15.0
c4d_210929_044959_ori	86.0
c4d_210929_055429_ori	50.0
c4d_211002_050226_ori	60.0
c4d_211002_055201_ori	50.0
