# Melissa Graham, nightly_epoch_magnitude_limits.ipynb 
# UTC = Mon, 11 Sep 2023 01:51:05 +0000 
# 
# Columns 
#  0 field 
#  1 calendar date 
#  2 MJD 
#  3 filter 
#  4 number of images combined 
#  5 limitng magnitude (mean of image magnitude limits) 
#  6 limitng magnitude uncertainty (std dev) 
# 
COSMOS    2023-05-10 60074.074829 g  20 22.932  0.291 
COSMOS    2023-05-10 60074.076011 r  20 23.016  0.162 
COSMOS    2023-05-10 60074.077599 i  20 22.996  0.122 
COSMOS    2023-05-12 60076.034954 g  20 23.425  0.061 
COSMOS    2023-05-12 60076.036133 r  20 23.286  0.047 
COSMOS    2023-05-12 60076.037725 i  20 23.090  0.051 
COSMOS    2023-05-18 60082.044719 g  20 22.995  0.114 
COSMOS    2023-05-18 60082.045905 r  20 22.868  0.093 
COSMOS    2023-05-18 60082.047499 i  20 22.696  0.070 
COSMOS    2023-05-21 60085.031196 g  20 23.512  0.140 
COSMOS    2023-05-21 60085.032382 r  20 23.328  0.151 
COSMOS    2023-05-21 60085.033975 i  20 23.178  0.162 
COSMOS    2023-05-24 60089.010267 g  20 23.228  0.095 
COSMOS    2023-05-25 60089.010267 g  20 23.228  0.095 
COSMOS    2023-05-24 60089.011446 r  20 23.261  0.075 
COSMOS    2023-05-25 60089.011446 r  20 23.261  0.075 
COSMOS    2023-05-24 60089.013038 i  20 23.083  0.074 
COSMOS    2023-05-25 60089.013038 i  20 23.083  0.074 
ELAIS     2021-05-22 59356.385676 g  36 23.724  0.526 
ELAIS     2021-05-22 59356.388377 r  30 23.841  0.118 
ELAIS     2021-05-22 59356.389959 i  30 23.517  0.112 
ELAIS     2021-05-24 59358.392018 g  24 23.875  0.613 
ELAIS     2021-05-24 59358.394718 r  20 24.091  0.175 
ELAIS     2021-05-24 59358.396300 i  20 23.735  0.099 
ELAIS     2021-05-27 59361.388199 g  34 21.965  0.502 
ELAIS     2021-05-27 59361.390608 r  28 22.687  0.289 
ELAIS     2021-05-27 59361.394008 i  28 22.738  0.533 
ELAIS     2021-05-30 59364.428195 g  12 23.155  0.391 
ELAIS     2021-05-30 59364.430900 r  10 23.714  0.098 
ELAIS     2021-05-30 59364.432484 i  10 23.669  0.139 
ELAIS     2021-06-02 59367.387318 g  34 23.345  0.425 
ELAIS     2021-06-02 59367.389176 i  26 23.369  0.095 
ELAIS     2021-06-02 59367.389732 r  28 23.710  0.078 
ELAIS     2021-09-17 59474.146800 g  20 22.810  0.142 
ELAIS     2021-09-17 59474.147981 r  20 23.242  0.130 
ELAIS     2021-09-17 59474.149562 i  20 23.445  0.119 
ELAIS     2021-09-20 59477.125966 g  32 22.046  0.174 
ELAIS     2021-09-20 59477.127148 r  32 22.561  0.153 
ELAIS     2021-09-20 59477.128731 i  32 22.770  0.167 
ELAIS     2021-09-23 59480.119975 g  38 22.709  0.093 
ELAIS     2021-09-23 59480.121157 r  38 23.200  0.098 
ELAIS     2021-09-23 59480.122745 i  38 23.326  0.099 
ELAIS     2021-09-26 59483.210995 g  20 23.683  0.066 
ELAIS     2021-09-26 59483.212178 r  20 24.095  0.043 
ELAIS     2021-09-26 59483.213762 i  20 24.067  0.031 
ELAIS     2021-09-29 59486.211196 g  20 24.356  0.095 
ELAIS     2021-09-29 59486.212370 r  20 24.412  0.111 
ELAIS     2021-09-29 59486.213953 i  20 24.263  0.050 
ELAIS     2021-10-02 59489.216663 g  20 24.559  0.047 
ELAIS     2021-10-02 59489.217844 r  20 24.558  0.064 
ELAIS     2021-10-02 59489.219425 i  20 24.406  0.055 
