         id    agn_type  
    DC21ucs   "QSO"      
    DC21uct   "QSO"      
    DC21udz   "QSO"      
    DC21ueh   "AGN"      
    DC21uhc   "AGN"      
    DC21vge   "QSO"      
    DC21vil   "QSO"      
    DC21vqe   "QSO"      
    DC21vuv   "QSO"      
    DC21wmq   "QSO"      
    DC21wpu   "QSO"      
    DC21xmt   "QSO"      
    DC21xuy   "QSO"      
    DC21xva   "QSO"      
    DC21yai   "QSO"      
    DC21ygx   "QSO"      
    DC21ypd   "QSO"      
    DC21yvh   "QSO"      
  DC22duodt   "QSO"      
  DC22duszl   "QSO"      
  DC22duyhc   "QSO"      
  DC22dvhmg   "QSO"      
  DC22earib   "AGN"      
  DC22easdc   "QSO"      
  DC22easje   "AGN"      
  DC22easns   "AGN"      
  DC22eatpz   "QSO"      
  DC22eatte   "AGN"      
  DC22eatxh   "AGN"      
  DC22eauvd   "QSO"      
  DC22eauzc   "AGN"      
  DC22eavii   "QSO"      
  DC22eavqw   "AGN"      
  DC22eavrw   "QSO"      
  DC22eavsq   "AGN"      
  DC22eawla   "AGN"      
  DC22eawss   "AGN"      
  DC22eaxau   "AGN"      
  DC22eaxdg   "AGN"      
  DC22eaxxk   "AGN"      
  DC22eazmk   "AGN"      
  DC22ebdcz   "QSO"      
  DC22eblcf   "AGN"      
  DC22ebmcx   "QSO"      
  DC22edbcu   "AGN"      
  DC22efxwq   "QSO"      
  DC22egihx   "QSO"      
  DC22eginr   "QSO"      
  DC22enaks   "QSO"      
  DC22enftc   "QSO"      
  DC22enjfp   "AGN"      
  DC22enxfu   "AGN"      
  DC22gtdfz   "AGN"      
  DC22gtdqx   "QSO"      
  DC22gtefu   "QSO"      
  DC22gtpwt   "AGN"      
  DC22gtqua   "QSO"      
  DC22gttzi   "QSO"      
  DC22gtwew   "AGN"      
  DC22gtxqt   "AGN"      
  DC22guiqk   "AGN"      
  DC22guntn   "QSO"      
  DC22guwnb   "Sy1"      
  DC22gvuxp   "QSO"      
  DC22gwmcc   "QSO"      
  DC22gwqvp   "QSO"      
  DC22hazvo   "QSO"      
  DC22hiozn   "QSO"      
  DC22hirtc   "BLL"      
  DC22hvujn   "QSO"      
  DC22hxfmu   "QSO"      
  DC22hxgmt   "QSO"      
  DC22hxlcb   "AGN"      
  DC22hxmco   "AGN"      
  DC22hzwds   "QSO"      
  DC22icqit   "QSO"      
  DC22ijkpd   "QSO"      
  DC22irwxi   "QSO"      
  DC22irzhc   "QSO"      
  DC22issxk   "QSO"      
  DC22iteny   "SyG"      
  DC22iygyh   "QSO"      
  DC22jbjpl   "QSO"      
  DC22jddqv   "QSO"      
  DC22jddrh   "QSO"      
  DC22jdpoj   "QSO"      
  DC23jjjge   "AGN"      
  DC23jjlzc   "AGN"      
  DC23jjnju   "QSO"      
  DC23jkpvb   "QSO"      
  DC23jmrzc   "AGN"      
  DC23jmzca   "AGN"      
  DC23jnevv   "AGN"      
  DC23jntxz   "QSO"      
  DC23jnuzk   "QSO"      
  DC23jpvpn   "QSO"      
  DC23jqllt   "QSO"      
  DC23jqmyo   "BLL"      
  DC23jqpex   "AGN"      
  DC23jqxuj   "QSO"      
  DC23jrvsp   "QSO"      
  DC23jtdlg   "QSO"      
  DC23juycx   "QSO"      
  DC23jxjtu   "QSO"      
  DC23kccfd   "QSO"      
  DC23kevqa   "AGN"      
  DC23kewod   "AGN"      
  DC23kfgoj   "QSO"      
  DC23kgecf   "QSO"      
  DC23kgofy   "QSO"      
  DC23kgsoe   "QSO"      
  DC23kgwvx   "QSO"      
  DC23kheot   "AGN"      
  DC23khfqh   "Sy1"      
  DC23khnhb   "QSO"      
  DC23kiazt   "Sy1"      
  DC23kifcq   "QSO"      
  DC23kjcwk   "QSO"      
  DC23ktgcj   "QSO"      
  DC23kvrlo   "QSO"      
  DC23kzugq   "QSO"      
  DC23lalgt   "QSO"      
  DC23laxfi   "QSO"      
  DC23lbaxl   "QSO"      
  DC23lbdvd   "QSO"      
  DC23lctve   "QSO"      
  DC23lfcmt   "QSO"      
  DC23lfelg   "QSO"      
  DC23lfjas   "QSO"      
   DC24cust   "QSO"      
   DC24dhfh   "QSO"      
   DC24ebxc   "QSO"      
   DC24edlw   "QSO"      
   DC24hdrx   "QSO"      
   DC24hdtm   "QSO"      
   DC24heot   "QSO"      
   DC24ikly   "QSO"      
    DC24itg   "QSO"      
    DC24mbo   "AGN"      
   DC24mjta   "Sy1"      
   DC24mogv   "QSO"      
   DC24mvwq   "QSO"      
   DC24niec   "AGN"      
   DC24nivx   "QSO"      
   DC24niwi   "AGN"      
   DC24ozgx   "QSO"      
   DC24qetf   "AGN"      
   DC24qher   "AGN"      
   DC24wsyc   "QSO"      
