# Melissa Graham & Midori Rollins, fit_potential_snia_sncosmos.ipynb 
# UTC = Mon, 10 Jul 2023 04:14:36 +0000 
# 
# Columns 
#  0 id -- candidate identifier 
#  1 estimated redshift 
#  2 redshift lower boundry intput to fit 
#  3 redshift upper boundry intput to fit 
#  4 fit redshift 
#  5 error in fit redshift 
#  6 fit t0 
#  7 error in fit t0 
#  8 fit x0 
#  9 error in fit x0 
# 10 fit x1 
# 11 error in fit x1 
# 12 fit c 
# 13 error in fit c 
# 14 fit peak magnitude in bessel B 
# 15 fit peak magnitude in sdss g 
# 16 fit peak magnitude in sdss r 
# 17 fit peak magnitude in sdss i 
# 
DC21jfcb       0.330 0.180 0.480   0.335 0.010 59360.52  0.33   3.5001E-05   9.8321E-07     1.1816     0.4315    -0.1686     0.0345    21.6385    21.7439    22.0555    22.7197 
DC21jof        0.380 0.230 0.530   0.354 0.024 59289.31  2.26   2.5902E-05   2.3510E-06     1.5155     0.8949    -0.0900     0.0733    21.9650    22.0466    22.2709    22.9056 
DC21ktp        0.292 0.142 0.442   0.237 0.011 59297.75  0.36   4.9759E-05   1.9460E-06     1.3456     0.4421    -0.0802     0.0227    21.2567    21.3356    21.5448    22.1733 
DC21kxb        0.406 0.256 0.556   0.328 0.006 59303.48  1.09   1.4477E-05   8.1526E-07     9.1543     0.9849     0.2537     0.0383    22.3699    22.3529    22.3853    22.6269 
DC21lvlb       0.436 0.286 0.586   0.315 0.008 59497.60  0.53   1.2409E-05   7.7487E-07    17.3770     1.7689    -0.0924     0.0289    22.1258    22.1965    22.6606    22.9876 
DC21lza        0.309 0.159 0.459   0.358 0.040 59352.98  0.76   2.8567E-05   2.3091E-06     0.7813     0.7697     0.0960     0.1710    21.8595    21.8862    21.8758    22.4229 
DC21mjrj       0.483 0.333 0.633   0.373 0.060 59468.18  3.12   1.5981E-05   3.9550E-06     2.6769     1.9615    -0.0682     0.2268    22.4844    22.5578    22.7804    23.4177 
DC21mvh        0.245 0.095 0.395   0.384 0.028 59334.24  0.84   2.8247E-05   3.0457E-06    18.4230     3.1185    -0.1500     0.0445    21.1865    21.2738    21.8079    22.1559 
DC21pry        0.220 0.070 0.370   0.328 0.006 59313.01  0.45   4.3019E-05   2.9158E-06    11.4558     1.1896     0.7295     0.0840    21.0412    20.8617    20.3689    20.3837 
DC21vfl        0.202 0.052 0.352   0.165 0.003 59311.30  0.09   1.7791E-08   3.2148E-09 90883.9030 16423.7938     0.0424     0.0226    20.2486    20.2617    20.6104    20.8080 
DC22duvcm      0.322 0.172 0.472   0.172 0.014 59578.60  0.37   4.1244E-05   1.3153E-06     0.3425     0.6016     0.0443     0.0260    21.4623    21.5049    21.5471    22.1104 
DC22earrc      0.400 0.250 0.550   0.277 0.018 59588.81  0.51   2.3999E-05   9.5305E-07    -1.4449     1.0127    -0.1319     0.0356    22.0526    22.1479    22.3699    22.9836 
DC22eawkf      0.174 0.050 0.350   0.122 0.007 59585.28  0.39   1.4128E-04   1.7375E-06     1.7339     0.3214     0.0125     0.0125    20.1223    20.1729    20.2801    20.8735 
DC22gtccc      0.338 0.188 0.488   0.488 0.003 59704.35  0.43   2.7346E-05   7.3795E-07     2.3964     0.4659     0.0219     0.0242    21.9024    21.9492    22.0593    22.6554 
DC22gtdsi      0.342 0.192 0.492   0.307 0.024 59691.60  1.26   3.1383E-05   1.3461E-06    -0.5664     0.9272     0.0340     0.0687    21.7605    21.8063    21.8444    22.4007 
DC22gtowb      0.259 0.109 0.409   0.147 0.045 59708.45  0.54   6.2998E-05   2.1842E-06    -0.4075     0.4269     0.0706     0.0319    21.0034    21.0381    21.0357    21.5788 
DC22gtqyk      0.255 0.105 0.405   0.241 0.009 59713.83  0.30   6.2667E-05   1.5141E-06     2.6278     0.3401    -0.0575     0.0231    21.0011    21.0714    21.2803    21.9125 
DC22guhrf      0.253 0.103 0.403   0.229 0.023 59694.91  0.75   7.0562E-05   4.2033E-06     1.0965     0.9519    -0.1475     0.0331    20.8777    20.9769    21.2615    21.9157 
DC22gvcqm      0.317 0.167 0.467   0.281 0.038 59697.77  2.99   3.7587E-05   2.5052E-06     3.2428     1.9367     0.0206     0.0726    21.5509    21.5973    21.7285    22.3316 
DC22hvtap      0.261 0.111 0.411   0.335 0.007 59721.21  2.09   6.0402E-05   6.1698E-06     3.5931     0.5029    -0.0834     0.0437    21.0318    21.1099    21.3722    22.0214 
DC22hvtet      0.309 0.159 0.459   0.418 0.044 59704.09  2.92   1.6454E-04   3.7351E-05    -1.5419     0.6598    -0.7331     0.1635    19.9404    20.2104    21.1711    22.0369 
DC22hvtwp      0.275 0.125 0.425   0.194 0.015 59743.78  0.23   5.1062E-05   8.2887E-07     1.7215     0.3029     0.0390     0.0390    21.2270    21.2697    21.3454    21.9273 
DC22hvuhl      0.395 0.245 0.545   0.366 0.010 59712.76  1.56   2.4808E-05   4.1503E-06     7.0089     2.5026    -0.1716     0.0651    21.8834    22.0051    22.4799    23.0023 
DC22hvuzr      0.271 0.121 0.421   0.261 0.016 59742.93  0.83   4.8254E-05   1.0402E-06     2.8286     0.5563    -0.0505     0.0198    21.2835    21.3515    21.5566    22.1874 
DC22hxfpz      0.271 0.121 0.421   0.248 0.022 59749.52  0.29   4.9910E-05   1.5259E-06     0.8923     0.3449    -0.0396     0.0275    21.2545    21.3219    21.4741    22.0798 
DC22hxfsi      0.272 0.122 0.422   0.223 0.020 59754.20  0.24   5.4608E-05   1.4100E-06    -0.5467     0.2425     0.0704     0.0472    21.1587    21.1935    21.1889    21.7303 
DC22icaog      0.374 0.224 0.524   0.257 0.051 59755.50  0.84   2.5884E-05   1.8535E-06    -0.6862     0.6939    -0.2931     0.0751    21.9672    22.1105    22.5397    23.2313 
DC22ikidc      0.161 0.050 0.350   0.194 0.006 59789.79  1.03   1.7168E-04   6.0807E-06     0.1081     0.2698    -0.0532     0.0313    19.9147    19.9867    20.1404    20.7417 
DC22isyfm      0.391 0.241 0.541   0.290 0.028 59836.21  0.66   2.2164E-05   1.5743E-06     1.1164     0.6761     0.0967     0.0712    22.1342    22.1603    22.1558    22.7065 
DC22iteny      0.241 0.091 0.391   0.363 0.007 59809.46  0.41   5.5278E-05   7.9664E-06    27.4152     5.5823    -0.6609     0.0252    20.1055    20.3414    21.5017    22.0539 
DC22iykha      0.133 0.050 0.350   0.121 0.003 59871.17  0.06   2.2858E-04   2.0898E-06     1.9395     0.0918    -0.0589     0.0079    19.5994    19.6711    19.8670    20.4931 
DC22jbqyi      0.255 0.105 0.405   0.151 0.261 59930.11  4.66   7.3536E-05   4.1205E-05    -3.6814     7.5724    -0.1784     0.1437    20.8377    20.9457    21.1896    21.7935 
DC22jcvsy      0.243 0.093 0.393   0.300 0.008 59895.75  0.21   5.0175E-05   1.7978E-06     3.2524     0.3521    -0.2529     0.0157    21.2356    21.3637    21.8189    22.5404 
DC23jjloo      0.286 0.136 0.436   0.248 0.011 59951.99  0.25   3.3556E-05   2.7784E-07     0.7250     0.2339     0.0616     0.0107    21.6853    21.7224    21.7516    22.3124 
DC23jmqzz      0.361 0.211 0.511   0.316 0.015 59972.52  0.71   2.8466E-05   3.0985E-07    -0.6406     0.9568     0.0430     0.0162    21.8664    21.9095    21.9357    22.4873 
