# archfnmbase            ra         dec        mjd          filt  airm  object       expt  seqid                     class                type   moonsep moonill medpixval  
c4d_210406_091151_ori    270.889996 -29.530000 59310.383238 i      1.01 DECaPS-East   30.0 DECaPSEast-DDF-B          DECaPS-East          GAL      40.55   0.296       2382 
c4d_210602_072258_ori    270.889996 -29.530000 59367.307617 z      1.05 DECaPS-East   30.0 DECaPSEast-DDF-B          DECaPS-East          GAL      71.26   0.501          0 
c4d_210328_020657_ori    149.220000   1.750000 59301.088170 i      1.18 COSMOS-2      30.0 COSMOS-DDF-SEQ-A          COSMOS-MOON          EGAL     31.31   0.991       3149 
c4d_210527_092922_ori      7.874596 -43.009600 59361.395405 g      1.36 ELAIS-E1      60.0 ELAIS-DDF-SEQ-B           ELAIS                EGAL     87.90   0.987          0 
c4d_211002_085113_ori    116.320004 -26.250000 59489.368906 z      1.27 DECaPS-West   30.0 DECaPSWest-DDF-A          DECaPS-West          GAL      53.24   0.197          0 
c4d_210506_084255_ori    270.889996 -29.530000 59340.363141 z      1.02 DECaPS-East   30.0 DECaPSEast-DDF-A          DECaPS-East          GAL      75.40   0.252          0 
c4d_210602_094652_ori      9.499996 -43.998000 59367.407553 g      1.24 ELAIS-E2      60.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     38.21   0.491       1934 
c4d_211002_052956_ori      9.499996 -43.998000 59489.229131 i      1.05 ELAIS-E2     130.0 ELAIS-DDF-SEQ-B           ELAIS                EGAL    133.18   0.209          0 
c4d_211018_085001_ori    116.320004 -26.250000 59505.368075 g      1.10 DECaPS-West   96.0 DECaPSWest-DDF-B          DECaPS-West          GAL     111.25   0.949          0 
c4d_210527_062556_ori    270.889996 -29.530000 59361.268011 z      1.00 DECaPS-East   30.0 DECaPSEast-DDF-B          DECaPS-East          GAL      14.82   0.990       4616 
c4d_211101_050148_ori      9.499996 -43.998000 59519.209583 i      1.17 ELAIS-E2     130.0 ELAIS-DDF-SEQ-B           ELAIS                EGAL    142.35   0.177          0 
c4d_210509_002816_ori    149.220000   1.750000 59343.019640 i      1.21 COSMOS-2     130.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL    131.09   0.069          0 
c4d_210328_085743_ori    270.889996 -29.530000 59301.373419 z      1.06 DECaPS-East   30.0 DECaPSEast-DDF-B          DECaPS-East          GAL      90.33   0.996          0 
c4d_210427_001415_ori    150.000000   3.100000 59331.009900 g      1.20 COSMOS-1      60.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL     65.34   0.999          0 
c4d_211128_075526_ori    116.320004 -26.250000 59546.330172 g      1.00 DECaPS-West   96.0 DECaPSWest-DDF-B          DECaPS-West          GAL      63.69   0.417          0 
c4d_211020_082952_ori    116.320004 -26.250000 59507.354077 i      1.13 DECaPS-West   30.0 DECaPSWest-DDF-A          DECaPS-West          GAL      96.36   0.999          0 
c4d_211224_023357_ori      9.499996 -43.998000 59572.106917 i      1.34 ELAIS-E2     130.0 ELAIS-DDF-SEQ-B           ELAIS                EGAL    138.92   0.790          0 
c4d_211119_043133_ori      7.874596 -43.009600 59537.188581 r      1.29 ELAIS-E1      86.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     74.37   1.000          0 
c4d_210515_025109_ori    149.220000   1.750000 59349.118859 g      2.10 COSMOS-2      60.0 COSMOS-DDF-SEQ-B          COSMOS               EGAL     61.98   0.097          0 
c4d_210503_000145_ori    150.780000   1.750000 59337.001225 r      1.18 COSMOS-3      86.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL    147.91   0.590          0 
c4d_211023_080532_ori    116.320004 -26.250000 59510.337178 r      1.16 DECaPS-West   50.0 DECaPSWest-DDF-B          DECaPS-West          GAL      73.98   0.934          0 
c4d_210328_014752_ori    149.220000   1.750000 59301.074914 i      1.19 COSMOS-2      30.0 COSMOS-DDF-SEQ-A          COSMOS-MOON          EGAL     31.20   0.991       3224 
c4d_210425_013125_ori    149.220000   1.750000 59329.063486 i      1.22 COSMOS-2     130.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     37.99   0.935       5188 
c4d_210331_004335_ori    150.780000   1.750000 59304.030278 i      1.27 COSMOS-3     130.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL     71.05   0.927          0 
c4d_210918_085104_ori    116.320004 -26.250000 59475.368803 r      1.56 DECaPS-West   50.0 DECaPSWest-DDF-A          DECaPS-West          GAL     126.98   0.922          0 
c4d_210328_032150_ori    150.780000   1.750000 59301.140165 i      1.21 COSMOS-3      30.0 COSMOS-DDF-SEQ-B          COSMOS-MOON          EGAL     30.18   0.992       3270 
c4d_210331_021402_ori    149.220000   1.750000 59304.093084 r      1.18 COSMOS-2      86.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     73.43   0.923          0 
c4d_211017_002314_ori    270.889996 -29.530000 59504.016142 i      1.35 DECaPS-East   30.0 DECaPSEast-DDF-B          DECaPS-East          GAL      70.99   0.872          0 
c4d_211017_022444_ori      7.874596 -43.009600 59504.100511 r      1.06 ELAIS-E1      86.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     37.07   0.877       3260 
c4d_210530_064025_ori    270.889996 -29.530000 59364.278070 g      1.00 DECaPS-East   96.0 DECaPSEast-DDF-A          DECaPS-East          GAL      30.81   0.805       5151 
c4d_220103_053207_ori    116.320004 -26.250000 59582.230639 r      1.00 DECaPS-West   50.0 DECaPSWest-DDF-A          DECaPS-West          GAL     128.43   0.004          0 
c4d_220123_075546_ori    150.780000   1.750000 59602.330399 g      1.25 COSMOS-3      60.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     35.74   0.734       2341 
c4d_211017_081820_ori    116.320004 -26.250000 59504.346066 r      1.19 DECaPS-West   50.0 DECaPSWest-DDF-A          DECaPS-West          GAL     118.09   0.893          0 
c4d_211107_043807_ori      7.874596 -43.009600 59525.193143 i      1.18 ELAIS-E1     130.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     89.19   0.078          0 
c4d_220103_053523_ori    116.320004 -26.250000 59582.232906 g      1.00 DECaPS-West   96.0 DECaPSWest-DDF-B          DECaPS-West          GAL     128.44   0.004          0 
c4d_210521_235500_ori    150.780000   1.750000 59355.996539 g      1.23 COSMOS-3      80.0 COSMOS-AGN-1              COSMOS-AGN           EGAL     30.43   0.734       2721 
c4d_210506_083320_ori    270.889996 -29.530000 59340.356484 g      1.01 DECaPS-East   96.0 DECaPSEast-DDF-A          DECaPS-East          GAL      75.33   0.252          0 
c4d_210506_002441_ori    150.780000   1.750000 59340.017147 g      1.19 COSMOS-3      60.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL    162.99   0.283          0 
c4d_210923_035008_ori      7.874596 -43.009600 59480.159817 i      1.06 ELAIS-E1     130.0 ELAIS-DDF-SEQ-B           ELAIS                EGAL     52.72   0.952       3996 
c4d_210322_024737_ori    150.780000   1.750000 59295.116410 g      1.18 COSMOS-3      10.0 COSMOS-DDF-SEQ-B          None                 None     56.91   0.551          0 
c4d_211213_072514_ori    116.320004 -26.250000 59561.309196 i      1.01 DECaPS-West   30.0 DECaPSWest-DDF-A          DECaPS-West          GAL     100.50   0.720          0 
c4d_210917_002512_ori    270.889996 -29.530000 59474.017511 r      1.05 DECaPS-East   50.0 DECaPSEast-DDF-A          DECaPS-East          GAL      34.27   0.827       3224 
