# Matched DECam DDF candidates to the Legacy Survey DR10. 
# Melissa Graham, October 2023 
# Legacy Surveys: https://datalab.noirlab.edu/ls/ls.php 
# For more info on DR10 columns, units, etc: 
#  - https://datalab.noirlab.edu/query.php?name=ls_dr10.tractor 
#  - https://www.legacysurvey.org/dr10/catalogs/ 
# 
# Columns 
#  0 : DECam DDF candidate identifier (string) 
#  1 : DECam DDF candidate Right Ascension (deg; float) 
#  2 : DECam DDF candidate Declination (deg; float) 
#  3 : Number of DR10 sources within 0.02 deg radius (72") to attempt match (int) 
#  4 : Flag: 1 if matched to a star; 0 if matched to a galaxy; -1 if unmatched (int) 
#  5 : Flag: 1 if matched to the core of the galaxy; 0 otherwise (int) 
#  6 : Flag: 1 if a star AND galaxy met constraints; 0 if one or the other; -1 if unmatched (int) 
#  7 : Separation between candidate and matched DR10 object (arcsec; float) 
#  8 : Matched LS DR10 object Right Ascension (deg; float) 
#  9 : Matched LS DR10 object Declination (deg; float) 
# 10 : Matched LS DR10 object MW E(B-V) value (mag; float) 
# 11 : Matched LS DR10 object ls_id identifier (unique; long integer) 
# 12 : Matched LS DR10 object g-band apparent magnitude (mag; float) 
# 13 : Matched LS DR10 object r-band apparent magnitude (mag; float) 
# 14 : Matched LS DR10 object i-band apparent magnitude (mag; float) 
# 15 : Matched LS DR10 object type (str) 
# 16 : Matched LS DR10 object sersic index (float) 
# 17 : Matched LS DR10 object shape e1 (float) 
# 18 : Matched LS DR10 object shape e2 (float) 
# 19 : Matched LS DR10 object shape r (half-light radius; float) 
# 20 : Matched LS DR10 object g-band psf size (arcsec; float) 
# 21 : Matched LS DR10 object r-band psf size (arcsec; float) 
# 22 : Matched LS DR10 object i-band psf size (arcsec; float) 
# 23 : Matched LS DR9 object photoz mean (float) 
# 24 : Matched LS DR9 object photoz std (float) 
# 25 : Matched LS DR9 object specz (float) 
# 
DC21bas    148.414203044864   1.693548231907   377  1  0  1   0.7 148.414206   1.693738   0.025    10995473885177104  20.316  18.856  18.052   PSF   0.00   0.000000   0.000000   0.000000   1.261828   1.213208   1.248597  -99.0000  -99.0000  -99.0000 
DC21basa   150.799245966263   1.725473879251   455  1  0  0   0.9 150.799150   1.725705   0.022    10995473895657207  20.257  18.832  17.728   PSF   0.00   0.000000   0.000000   0.000000   1.170289   1.141977   1.245686  -99.0000  -99.0000  -99.0000 
DC21basr   151.277286575694   2.085019521468   321  1  0  0   0.1 151.277318   2.085043   0.033    10995475407701736  18.599  17.830  17.608   PSF   0.00   0.000000   0.000000   0.000000   1.367717   1.307327   1.292416  -99.0000  -99.0000  -99.0000 
DC21bata   151.763532244395   1.728864430547   417  1  0  0   0.3 151.763611   1.728877   0.034    10995473899848649  21.194  19.705  18.382   PSF   0.00   0.000000   0.000000   0.000000   1.385032   1.243404   1.241157  -99.0000  -99.0000  -99.0000 
DC21baue   149.977159945954   2.004903800326   387  0  1  0   0.2 149.977152   2.004857   0.019    10995475401425879  16.667  15.991  15.698   SER   1.78  -0.005290  -0.080311   8.199885   1.273938   1.269716   1.273731    0.0678    0.0223    0.0779 
DC21bauj   150.533996408794   2.627639392271   526  1  0  1   1.8 150.534279   2.627219   0.018    10995479934405913  18.542  18.247  18.181   PSF   0.00   0.000000   0.000000   0.000000   1.291115   1.226873   1.216481  -99.0000  -99.0000  -99.0000 
DC21baut   150.818393548395   1.884285682368   424  1  0  0   0.6 150.818486   1.884163   0.022    10995475405607209  17.761  17.188  17.018   PSF   0.00   0.000000   0.000000   0.000000   1.269910   1.198073   1.294364  -99.0000  -99.0000  -99.0000 
DC21bauz   150.812444617887   1.189780885100   372  1  0  0   0.5 150.812529   1.189880   0.026    10995470875758170  18.420  17.850  17.678   PSF   0.00   0.000000   0.000000   0.000000   1.276384   1.110826   1.186697  -99.0000  -99.0000  -99.0000 
DC21bavj   151.128206850546   1.046117595377   274  1  0  0   1.0 151.127971   1.046239   0.027    10995469366860479  21.801  20.084  18.210   PSF   0.00   0.000000   0.000000   0.000000   1.512631   1.078430   1.164441  -99.0000  -99.0000  -99.0000 
DC21bavw   148.484803438827   1.794826097039   391  1  0  0   0.4 148.484875   1.794728   0.027    10995473885180885  18.883  17.467  16.735   PSF   0.00   0.000000   0.000000   0.000000   1.277955   1.197718   1.309563  -99.0000  -99.0000  -99.0000 
DC21bavx   151.568045844060   1.269256393749   257  0  1  0   0.3 151.567959   1.269257   0.032    10995470878904015  17.918  17.062  16.657   SER   0.98   0.240680   0.319653   2.769909   1.341436   1.200202   1.244589    0.0960    0.0188    0.0970 
DC21baw    151.286108164504   2.471954337253   372  1  0  1   0.5 151.286215   2.472058   0.031    10995478427600971  18.890  18.588  18.521   PSF   0.00   0.000000   0.000000   0.000000   1.338740   1.255656   1.223759  -99.0000  -99.0000  -99.0000 
DC21bawf   150.965079468872   2.252355934529   447  1  0  0   0.4 150.965016   2.252454   0.023    10995476915569132  18.985  18.769  18.770   PSF   0.00   0.000000   0.000000   0.000000   1.112506   1.220126   1.345454  -99.0000  -99.0000  -99.0000 
DC21bawj   150.763973272071   2.460888317940   499  1  0  0   0.7 150.763820   2.460987   0.021    10995478425503189  19.603  19.151  18.994   PSF   0.00   0.000000   0.000000   0.000000   1.317378   1.200605   1.219219  -99.0000  -99.0000  -99.0000 
DC21baxo   151.510730568188   1.386515122403   305  1  0  0   0.6 151.510639   1.386360   0.031    10995472388850366  17.075  16.391  16.205   PSF   0.00   0.000000   0.000000   0.000000   1.338148   1.188677   1.238622  -99.0000  -99.0000  -99.0000 
DC21baxw   150.495408835979   3.461115677617   308  1  0  0   0.8 150.495622   3.461149   0.021    10995484461107647  19.516  18.846  17.809   PSF   0.00   0.000000   0.000000   0.000000   1.223504   1.317059   1.059443  -99.0000  -99.0000  -99.0000 
DC21bayu   150.564717258701   2.491823787939   433  1  0  1   2.0 150.564680   2.492383   0.018    10995478424458487  18.979  17.782  17.352   PSF   0.00   0.000000   0.000000   0.000000   1.334451   1.220614   1.186299  -99.0000  -99.0000  -99.0000 
DC21bayx   150.407468397382   3.819150501229   411  1  0  0   0.4 150.407359   3.819098   0.022    10995485967921845  19.191  18.104  17.740   PSF   0.00   0.000000   0.000000   0.000000   1.249259   1.270688   1.085772  -99.0000  -99.0000  -99.0000 
DC21bazd   150.417930132095   2.652634298938   422  1  0  0   0.8 150.418088   2.652772   0.020    10995479933366746  20.745  19.363  18.477   PSF   0.00   0.000000   0.000000   0.000000   1.313775   1.134652   1.101641  -99.0000  -99.0000  -99.0000 
DC21bazg   149.328935324567   3.461559385885   411  1  0  0   0.3 149.328959   3.461653   0.031    10995484455870777  18.392  17.917  17.775   PSF   0.00   0.000000   0.000000   0.000000   1.070950   1.292781   1.058002  -99.0000  -99.0000  -99.0000 
DC21bba    149.315096558435   1.654200424946   448  1  0  1   0.1 149.315074   1.654171   0.020    10995473889365433  18.287  16.934  16.372   PSF   0.00   0.000000   0.000000   0.000000   1.324347   1.245617   1.277932  -99.0000  -99.0000  -99.0000 
DC21bbao   149.094075244328   3.168810364276   360  1  0  1   0.9 149.094181   3.168592   0.027    10995482946972175  18.941  18.587  18.498   PSF   0.00   0.000000   0.000000   0.000000   1.345005   1.237684   1.145503  -99.0000  -99.0000  -99.0000 
