"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"101552","SN 2022djw","10:18:40.854","+10:46:45.96","SN Ia","","","","","","","","0.05131","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","SCAT","ATLAS; Pan-STARRS","ATLAS22hku","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, PS2 - GPC2","UH88 - SNIFS","1","1","","18.99","cyan-ATLAS","2022-02-26 10:47:21.120","ATLAS_Bot1","","2022TNSTR.524....1T","2022TNSCR.552....1H",""
"101409","SN 2022dek","10:25:01.413","+01:53:02.74","SN Ia","","","","","","","","0.08","","","Pan-STARRS, YSE, ATLAS","Pan-STARRS, ATLAS","UCSC","ATLAS; Pan-STARRS; YSE","PS22boc","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, PS2 - GPC2","SOAR - Goodman","1","1","","20.46","w-P1","2022-02-24 09:02:04.416","PS2_Bot1","","2022TNSTR.515....1C","2022TNSCR.714....1D",""
"101380","SN 2022ddh","10:28:15.830","+06:34:47.33","SN Ia","","","","","","","","0.11","","","YSE, ATLAS, ZTF","Pan-STARRS, ATLAS, ZTF","YSE","ATLAS; Pan-STARRS; YSE; ZTF","PS22bmx","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","NOT - ALFOSC","1","1","","20.23","r-P1","2022-02-21 10:54:35.712","YSE_Bot1","","2022TNSTR.508....1J","2022TNSCR.647....1A",""
"100904","SN 2022cme","10:36:22.463","+02:45:53.75","SN Ia","","","","","","","","0.05038","","","ZTF, ATLAS, Pan-STARRS, Fink","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Fink; Pan-STARRS; ZTF","ZTF22aaarcds","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.23","g-ZTF","2022-02-14 06:36:00.000","ZTF_Bot1","","2022TNSTR.396....1F","2022TNSCR.468....1S",""
"99549","SN 2022ann","10:17:29.658","-02:25:35.45","SN Icn","","","","","","","","0.049","","","ATLAS, YSE, ZTF","ATLAS, Pan-STARRS, ZTF","UCSC","ATLAS; Pan-STARRS; YSE; ZTF","ATLAS22cyp","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","Lick-3m - KAST","1","1","","19.136","orange-ATLAS","2022-01-27 11:28:19.200","ATLAS_Bot1","","2022TNSTR.228....1T","2022TNSCR.362....1D",""
"99539","SN 2022and","10:00:06.613","+03:45:25.71","SN II","","","","","","","","0.043","","","ATLAS, Pan-STARRS, ZTF","ATLAS, Pan-STARRS, ZTF","ePESSTO+","ATLAS; Pan-STARRS; ZTF","ATLAS22cwl","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","18.965","orange-ATLAS","2022-01-27 10:49:26.400","ATLAS_Bot1","","2022TNSTR.228....1T","2022TNSCR.500....1K",""
"99461","SN 2022ake","10:21:37.696","-04:18:47.02","SN Ia","","","","","","","","0.0401","","","YSE, ZTF","Pan-STARRS, ZTF","SCAT","Pan-STARRS; YSE; ZTF","PS22uv","P48 - ZTF-Cam, PS2 - GPC2","UH88 - SNIFS","1","1","","17.83","z-Sloan","2022-01-25 11:18:14.400","YSE_Bot1","","2022TNSTR.209....1J","2022TNSCR.252....1T",""
"99458","SN 2022akc","10:19:07.979","+05:41:28.75","SN Ia","","","","","","","","0.074","","","ATLAS, YSE, Pan-STARRS, ZTF","ATLAS, Pan-STARRS, ZTF","UCSC","ATLAS; Pan-STARRS; YSE; ZTF","ATLAS22csv","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","Lick-3m - KAST","1","1","","18.728","orange-ATLAS","2022-01-25 09:57:36.000","ATLAS_Bot1","","2022TNSTR.195....1T","2022TNSCR.345....1T",""
"99423","SN 2022ait","10:30:26.962","+07:10:21.16","SN Ia","","","","","","","","0.03","","","ATLAS, Pan-STARRS, MASTER, ZTF","ATLAS, Pan-STARRS, MASTER, ZTF","SCAT","ATLAS; MASTER; Pan-STARRS; ZTF","ATLAS22cqw","ATLAS-MLO - ATLAS-01, ATLAS-STH - ATLAS-03, Other - Other, P48 - ZTF-Cam, PS2 - GPC2","UH88 - SNIFS","1","1","","18.321","orange-ATLAS","2022-01-25 10:53:45.600","ATLAS_Bot1","","2022TNSTR.195....1T","2022TNSCR.252....1T",""
"98499","SN 2022at","10:26:21.479","+00:29:15.29","SN Ia","","","","","","","","0.098","","","ATLAS","ATLAS","ZTF, ePESSTO+","ATLAS","ATLAS22ajn","ATLAS-MLO - ATLAS-01, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT, P60 - SEDM","1","1","","18.928","orange-ATLAS","2022-01-05 12:12:57.600","ATLAS_Bot1","","2022TNSTR..30....1T","2022TNSCR..88....1C, 2022TNSCR..96....1R",""
